macro,value,source_file
VrHsPreparsedDescFiveMean,200.88,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFivePFifty,179.73,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFivePNinetyNine,899.57,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFourHundredCount,71987,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFourHundredLoad,4.21,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFourHundredMean,34.61,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFourHundredPFifty,30.93,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescFourHundredPNinetyNine,147.41,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescHundredCount,18001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescHundredLoad,3.38,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescHundredMean,66.93,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescHundredPFifty,53.65,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescHundredPNinetyNine,286.62,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTenCount,1801,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTenLoad,2.36,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTenMean,188.06,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTenPFifty,169.50,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTenPNinetyNine,879.60,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwentyFiveCount,4501,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwentyFiveLoad,1.95,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwentyFiveMean,160.58,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwentyFivePFifty,137.47,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwentyFivePNinetyNine,557.76,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwoHundredCount,36001,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwoHundredLoad,4.90,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwoHundredMean,42.78,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwoHundredPFifty,34.30,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsPreparsedDescTwoHundredPNinetyNine,239.34,data/runs/2026-09-14T15-01-36Z-verifyrate-hs256-preparsed/verify_rate_curve.csv
VrHsStringAscFiftyCount,9000,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiftyLoad,1.93,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiftyMean,758.57,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiftyPFifty,713.77,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiftyPNinetyNine,2236.45,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiveCount,901,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiveLoad,5.47,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFiveMean,928.24,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFivePFifty,955.20,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFivePNinetyNine,2449.29,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFourHundredCount,72001,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFourHundredLoad,2.95,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFourHundredMean,452.82,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFourHundredPFifty,451.95,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscFourHundredPNinetyNine,737.79,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscHundredCount,18001,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscHundredLoad,1.96,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscHundredMean,571.59,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscHundredPFifty,537.71,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscHundredPNinetyNine,1184.80,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTenCount,1801,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTenLoad,2.77,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTenMean,976.28,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTenPFifty,1022.66,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTenPNinetyNine,2464.28,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwentyFiveCount,4501,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwentyFiveLoad,3.05,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwentyFiveMean,918.54,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwentyFivePFifty,906.76,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwentyFivePNinetyNine,2461.02,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwoHundredCount,36000,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwoHundredLoad,2.05,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwoHundredMean,494.91,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwoHundredPFifty,470.82,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringAscTwoHundredPNinetyNine,1153.04,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiftyCount,9001,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiftyLoad,2.31,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiftyMean,737.12,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiftyPFifty,758.26,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiftyPNinetyNine,1742.30,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
VrHsStringDescFiveCount,901,data/runs/2026-09-14T05-57-22Z-verifyrate-hs256/verify_rate_curve.csv
