macro,value,source
ProfHostPctHi,67.4,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfHostPctLo,65.3,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfIterations,50000,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfRepeats,3,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfTwentySixPct,61.5,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfTwentySixPctHi,61.6,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
ProfTwentySixPctLo,58.5,data/runs/2026-09-18T-profile-matched/cpuprof_matched.csv
RematchAdjudicated,12,survey/data/hand_adjudication.csv
RematchKeyObject,0,survey/data/hand_adjudication.csv
SampleBuffer,2,survey/data/callsites.csv
SampleCallSites,327,survey/data/callsites.csv
SampleEnvString,176,survey/data/callsites.csv
SampleFileContents,4,survey/data/callsites.csv
SampleKeyObject,0,survey/data/callsites.csv
SampleNoAlgorithms,309,survey/data/callsites.csv
SampleNoAlgorithmsPct,94,survey/data/callsites.csv
SampleRematchAdded,12,survey/data/callsites.csv
SampleRepos,247,survey/data/callsites.csv
SampleStringLiteral,52,survey/data/callsites.csv
SampleUnknown,93,survey/data/callsites.csv
SpanDecodeOnly,1.69,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
SpanHmacString,1.47,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
SpanJwtPreparsed,1.26,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
SpanProbeSucceeds,11.74,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
SpanProbeThrows,25.36,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
SuiteNaiveFailing,2,data/runs/2026-09-18T-upstream-suite/suite_results.csv
SuiteNaivePassing,509,data/runs/2026-09-18T-upstream-suite/suite_results.csv
SuitePatchedFailing,0,data/runs/2026-09-18T-upstream-suite/suite_results.csv
SuitePatchedPassing,511,data/runs/2026-09-18T-upstream-suite/suite_results.csv
SuiteStockFailing,0,data/runs/2026-09-18T-upstream-suite/suite_results.csv
SuiteStockPassing,511,data/runs/2026-09-18T-upstream-suite/suite_results.csv
xEightSixReplication,PLACEHOLDER,x86_64 replication of the runtime matrix. Not performed: the Oracle Cloud instance was unreachable. See threats to validity.
