corpus,repo,path,git_blob_sha1,sha256,bytes,verdict_repo_level,repo_head_commit_at_manifest_time
counter_search,messagebird/messagebird-nodejs,lib/test.js,6b364f8b3303ff7b6ae7725f858653cc397258b1,5852ad979f3565a09a04bc359cef9cb5a02a1cc02e4c3e7ebf56b4b42ddd1af6,67312,,2d8b7de16c6c4c24829bc009dfa29c59a68ab189
counter_search,blntunlan/crypto-cyber-survivors,railway-market-server/test_jwt_flow.js,d547dad34de1e1261ed9da8115a3bb846f9fe5a0,2f3cb5dcc61f5a3ddec9251a2bda53ea8ca7d53cc02a59d78448456ad1965206,3694,,12edc51084cfd19f82cae4526ff540b9028de849
counter_search,UzaiSindiko/node-app,test/helpers.test.js,54267376796cbf9bb7d9a06293352dffbfd30fe7,610c527c5c3025ee8c562ed8c580fee16b05c5ae34069bcff6b25df7d0e16438,2620,,75e01fa90f38d8103a46e6eafe18b44ef4de90f3
counter_search,UzaiSindiko/webhook,test/helpers.test.js,54267376796cbf9bb7d9a06293352dffbfd30fe7,610c527c5c3025ee8c562ed8c580fee16b05c5ae34069bcff6b25df7d0e16438,2620,,177bca33313f5b0dec33ba33c68753e504511054
counter_search,SnackyTater/learn-nestjs,src/utils/auth.ts,bf03a2f69d6a42937f4c1342b03e1f4797199754,da04761c209f9228fc9145290d85fd04b3be543778175db660d381410ff249cd,600,false_positive,f8e9bb2e556cd4284a5702c79de46b901b51fb3b
counter_search,ananddub/serverWithSdkSymb,src/controllers/JwtSign.ts,42b053366c054d6bff7aae9fbe5fffd6870c950e,e426ddaa8ecadb1dbb4d949c6b750d57cd07fedcbd3f30faace58e3b3d1d9b4d,3949,,5cd80fd4a5f8936dee597834737ee09c1c0663aa
counter_search,Poonehmgh/ft_transcendence,backend/src/auth/auth.service.ts,cfde36a3dfb476064230cf6264b5ad9734e1e6d5,a3cf2361fdbec2c7ee9645b6679655d19aee9522336a96ac4666e9f89ddf7797,6812,,6fcbbd39f04d524b4ab4f0d6b3270c40c71f8431
counter_search,SonarSource/SonarJS,packages/analysis/src/jsts/rules/S6437/cb.fixture.ts,c78faa3bc72cc79abdc594ce0c2bc6f01988a626,a86b51ac0c77d6476cfd6bc7b9370efcc6654ccb9724051209eb650e6fcf105b,13141,,00ae65b77be273322285c7991e776d250a1361a2
counter_search,pipeshub-ai/pipeshub-ai,backend/nodejs/apps/src/libs/services/authtoken.service.ts,8d7d1bf5b64ca0eaa67501ae7301e18289a5ff0c,2715e3027d84c50f790aff72e332e7d631781611bb70b82efb3506b36284ed38,5760,,4bf274f4efdcef42ed238964b01fcd80ecabb9ff
counter_search,felipe-software/feridinha.com,api/src/handlers/session.ts,3c60b503f6afc50cdd6aefb246084780fde3a6c5,90bdef0c1e53e94cf4883ef44422089d3961c8f8d9ea5c0913576410bcc97c85,1267,genuine,d4a5521ebf02986be25f43ef6627ed4c038ad439
counter_search,arfan-ahmed-shohag/FixItNowBackend,lib/jwt.ts,a8df41109a486874cd0370e9c5d7b12e348cc899,6f477afd229bb089ce461c6807d9bee48080cec8bab141204b8dc7327c8d7d89,628,,d4d5ec1e95da19c3d6d9fc4a4c332f0f2a1a5895
counter_search,kentaroh7777/soshoku-kakin2,middleware.ts,592af8ad303b4889a2424776a3f80dadcd7afcd8,7c4224f2099a16df9d6af58d4b23bfa98bc1bcb25888f1e3b7d0b66f098b60d6,1308,,4f4d5d8a48cab2bd43bb7bbd0f1fa79645932616
counter_search,HarperFast/jwt,src/lib/keyResolver.ts,92449c3de8232a574e37a1519edf4b2e036407af,259e235e91977f787502547150eda255b2da2381437ac828922cfd4439db4452,7126,,306b6bf371e504fee9c0d8ade80044038809207c
counter_search,tuatui/xe-ai,server/trpc/procedures/auth.ts,ff10e2b87720758b1dd58287f6ab1235786797af,b54b686b46222f99e1802a192466f64bb94e200ea5d9cc3a718d216df46ea02a,1316,genuine,84a56d31126ad21ee8f5c157b64fbdccde32bcfa
counter_search,Caalb/finance-control,server/middleware/auth.ts,19515a4f0967629b0ae8fe057ad7f63617f41744,086431236ffcd53c1b71fc2c84cf5ff634b9c9c230d7c11b39f4fae7195b2f19,719,,7130e7d8d214425ede42566fa07b40b8b43acd5e
