TIMESTAMP,POD,CPU,MEMORY
2025-11-18T00:08:14,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:19,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:08:19,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:08:24,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:08:24,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:08:29,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:08:29,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:08:34,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:08:34,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:39,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:08:39,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:44,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:08:44,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:08:50,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:08:50,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:08:55,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:08:55,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:00,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:09:00,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:05,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:05,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:10,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:10,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:15,service-a-deployment-6bd85fb6c9-crbb6,0m,59Mi
2025-11-18T00:09:15,service-b-deployment-78897db9dc-d2wvw,1m,17Mi
2025-11-18T00:09:20,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
2025-11-18T00:09:20,service-b-deployment-78897db9dc-d2wvw,0m,17Mi
2025-11-18T00:09:25,service-a-deployment-6bd85fb6c9-crbb6,1m,59Mi
