t_unix,t_rel_s,lambda_rps,eventloop_lag_p99_ms,mu_eff_rps,rho,latency_mean_ms,mode,decision,actuation_latency_ms,trigger_reason
1789302156.013,46.055,231.289,3.9813,786.860,0.2939,0.7966,app,hold,,below_trigger(rho=0.294)
1789302158.013,48.055,231.289,3.9813,787.458,0.2937,0.7966,app,hold,,below_trigger(rho=0.294)
1789302160.016,50.058,231.289,3.9813,787.876,0.2936,0.7966,app,hold,,below_trigger(rho=0.294)
1789302162.018,52.059,231.289,3.9813,788.169,0.2935,0.7966,app,hold,,below_trigger(rho=0.293)
1789302164.021,54.063,231.289,3.9813,788.374,0.2934,0.7966,app,hold,,below_trigger(rho=0.293)
1789302166.026,56.068,290.549,3.4734,855.704,0.3395,0.7789,app,hold,,below_trigger(rho=0.340)
1789302168.026,58.068,290.549,3.4734,902.836,0.3218,0.7789,app,hold,,below_trigger(rho=0.322)
1789302170.027,60.069,290.549,3.4734,935.828,0.3105,0.7789,app,hold,,below_trigger(rho=0.310)
1789302172.027,62.069,290.549,3.4734,958.922,0.3030,0.7789,app,hold,,below_trigger(rho=0.303)
1789302174.029,64.071,290.549,3.4734,975.088,0.2980,0.7789,app,hold,,below_trigger(rho=0.298)
1789302176.030,66.072,290.549,3.4734,986.404,0.2946,0.7789,app,hold,,below_trigger(rho=0.295)
1789302178.031,68.073,290.549,3.4734,994.326,0.2922,0.7789,app,hold,,below_trigger(rho=0.292)
1789302180.035,70.077,331.126,3.2604,988.488,0.3350,0.7456,app,hold,,below_trigger(rho=0.335)
1789302182.037,72.079,331.126,3.2604,984.401,0.3364,0.7456,app,hold,,below_trigger(rho=0.336)
1789302184.038,74.080,331.126,3.2604,981.541,0.3374,0.7456,app,hold,,below_trigger(rho=0.337)
1789302186.042,76.084,331.126,3.2604,979.538,0.3380,0.7456,app,hold,,below_trigger(rho=0.338)
1789302188.043,78.085,331.126,3.2604,978.137,0.3385,0.7456,app,hold,,below_trigger(rho=0.339)
1789302190.043,80.085,331.126,3.2604,977.156,0.3389,0.7456,app,hold,,below_trigger(rho=0.339)
1789302192.046,82.088,331.126,3.2604,976.469,0.3391,0.7456,app,hold,,below_trigger(rho=0.339)
1789302194.047,84.088,331.126,3.2604,975.988,0.3393,0.7456,app,hold,,below_trigger(rho=0.339)
1789302196.049,86.090,390.578,5.1978,937.238,0.4167,0.7496,app,hold,,below_trigger(rho=0.417)
1789302198.049,88.091,390.578,5.1978,910.112,0.4292,0.7496,app,hold,,below_trigger(rho=0.429)
1789302200.054,90.096,390.578,5.1978,891.124,0.4383,0.7496,app,hold,,below_trigger(rho=0.438)
1789302202.055,92.097,390.578,5.1978,877.833,0.4449,0.7496,app,hold,,below_trigger(rho=0.445)
1789302204.060,94.101,390.578,5.1978,868.529,0.4497,0.7496,app,hold,,below_trigger(rho=0.450)
1789302206.063,96.105,390.578,5.1978,862.016,0.4531,0.7496,app,hold,,below_trigger(rho=0.453)
1789302208.066,98.108,390.578,5.1978,857.457,0.4555,0.7496,app,hold,,below_trigger(rho=0.456)
1789302210.067,100.109,431.210,4.4687,868.480,0.4965,0.7867,app,hold,,below_trigger(rho=0.497)
1789302212.070,102.112,431.210,4.4687,876.196,0.4921,0.7867,app,hold,,below_trigger(rho=0.492)
1789302214.075,104.116,431.210,4.4687,881.597,0.4891,0.7867,app,hold,,below_trigger(rho=0.489)
1789302216.076,106.118,431.210,4.4687,885.378,0.4870,0.7867,app,hold,,below_trigger(rho=0.487)
1789302218.077,108.118,431.210,4.4687,888.025,0.4856,0.7867,app,hold,,below_trigger(rho=0.486)
1789302220.081,110.122,431.210,4.4687,889.877,0.4846,0.7867,app,hold,,below_trigger(rho=0.485)
1789302222.087,112.128,431.210,4.4687,891.174,0.4839,0.7867,app,hold,,below_trigger(rho=0.484)
1789302224.092,114.134,460.967,4.4687,910.594,0.5062,0.8136,app,hold,,below_trigger(rho=0.506)
1789302226.097,116.139,387.028,4.4687,878.190,0.4407,0.8136,app,hold,,below_trigger(rho=0.441)
1789302228.100,118.142,372.937,4.4687,846.741,0.4404,0.8136,app,hold,,suppressed:offload:consecutive(1/3):cpu=723m>700m
1789302230.103,120.145,356.696,4.4687,814.623,0.4379,0.8136,app,hold,,suppressed:offload:consecutive(2/3):cpu=723m>700m
1789302232.106,122.148,341.838,4.4687,782.897,0.4366,0.8136,app,hold,31236.987,actuation_failed:offload:probe:timed out after 30s (12 polls)
1789302263.569,153.610,213.696,0.0005,612.137,0.3491,3.7335,app,hold,30429.077,actuation_failed:offload:probe:timed out after 30s (13 polls)
1789302294.360,184.401,114.730,0.0005,462.915,0.2478,4.0714,sidecar,offload,8537.872,cpu=1206m>700m
1789302303.079,193.121,163.103,1459.6178,372.971,0.4373,2.5811,sidecar,hold,,above_revert(rho=0.437)
1789302305.081,195.123,163.103,1459.6178,310.011,0.5261,2.5811,sidecar,hold,,above_revert(rho=0.526)
1789302307.082,197.124,163.103,1459.6178,265.939,0.6133,2.5811,sidecar,hold,,above_revert(rho=0.613)
1789302309.087,199.128,163.103,1459.6178,235.088,0.6938,2.5811,sidecar,hold,,above_revert(rho=0.694)
1789302311.088,201.130,163.103,1459.6178,213.493,0.7640,2.5811,sidecar,hold,,above_revert(rho=0.764)
1789302313.092,203.133,163.103,1459.6178,198.376,0.8222,2.5811,sidecar,hold,,above_revert(rho=0.822)
1789302315.093,205.135,356.913,96.0102,268.662,1.3285,0.6985,sidecar,hold,,above_revert(rho=1.328)
1789302317.096,207.137,375.645,96.0102,324.674,1.1570,0.6985,sidecar,hold,,above_revert(rho=1.157)
1789302319.098,209.140,394.256,96.0102,370.651,1.0637,0.6985,sidecar,hold,,above_revert(rho=1.064)
1789302321.101,211.142,414.515,96.0102,410.203,1.0105,0.6985,sidecar,hold,,above_revert(rho=1.011)
1789302323.106,213.147,434.085,96.0102,445.006,0.9755,0.6985,sidecar,hold,,above_revert(rho=0.975)
1789302325.106,215.148,450.277,96.0102,475.256,0.9474,0.6985,sidecar,hold,,above_revert(rho=0.947)
1789302327.123,217.164,469.353,96.0102,503.369,0.9324,0.6985,sidecar,hold,,above_revert(rho=0.932)
1789302329.125,219.167,558.341,96.0102,555.411,1.0053,0.6985,sidecar,hold,,above_revert(rho=1.005)
1789302331.129,221.171,469.651,96.0102,559.586,0.8393,0.6985,sidecar,hold,,above_revert(rho=0.839)
1789302333.132,223.173,450.193,96.0102,555.432,0.8105,0.6985,sidecar,hold,,above_revert(rho=0.811)
1789302335.137,225.179,432.922,96.0102,546.243,0.7925,0.6985,sidecar,hold,,above_revert(rho=0.793)
1789302337.138,227.180,590.360,0.0005,559.478,1.0552,0.8291,sidecar,hold,,above_revert(rho=1.055)
1789302339.139,229.181,590.360,0.0005,568.742,1.0380,0.8291,sidecar,hold,,above_revert(rho=1.038)
1789302341.139,231.181,590.360,0.0005,575.228,1.0263,0.8291,sidecar,hold,,above_revert(rho=1.026)
1789302343.142,233.184,590.360,0.0005,579.767,1.0183,0.8291,sidecar,hold,,above_revert(rho=1.018)
1789302345.144,235.186,754.459,0.0005,632.175,1.1934,0.7552,sidecar,hold,,above_revert(rho=1.193)
1789302347.147,237.189,622.199,0.0005,629.182,0.9889,0.7552,sidecar,hold,,above_revert(rho=0.989)
1789302349.151,239.193,658.777,0.0005,638.061,1.0325,0.7719,sidecar,hold,,above_revert(rho=1.032)
1789302351.154,241.196,658.777,0.0005,644.276,1.0225,0.7719,sidecar,hold,,above_revert(rho=1.023)
1789302353.159,243.200,658.777,0.0005,648.626,1.0157,0.7719,sidecar,hold,,above_revert(rho=1.016)
1789302355.159,245.201,658.777,0.0005,651.671,1.0109,0.7719,sidecar,hold,,above_revert(rho=1.011)
1789302357.163,247.204,658.777,0.0005,653.803,1.0076,0.7719,sidecar,hold,,above_revert(rho=1.008)
1789302359.168,249.209,560.840,0.0005,625.914,0.8960,0.9579,sidecar,hold,,above_revert(rho=0.896)
1789302361.170,251.211,471.105,0.0005,579.471,0.8130,0.9579,sidecar,hold,,above_revert(rho=0.813)
1789302363.175,253.217,447.242,0.0005,539.803,0.8285,0.9579,sidecar,hold,,above_revert(rho=0.829)
1789302365.176,255.217,434.081,0.0005,508.086,0.8543,0.9579,sidecar,hold,,above_revert(rho=0.854)
1789302367.179,257.220,414.208,0.0005,479.923,0.8631,0.9579,sidecar,hold,,above_revert(rho=0.863)
1789302369.184,259.226,516.491,0.0005,490.893,1.0521,1.1598,sidecar,hold,,above_revert(rho=1.052)
1789302371.186,261.228,516.491,0.0005,498.573,1.0359,1.1598,sidecar,hold,,above_revert(rho=1.036)
1789302373.188,263.229,516.491,0.0005,503.948,1.0249,1.1598,sidecar,hold,,above_revert(rho=1.025)
1789302375.191,265.232,447.756,0.0005,487.090,0.9192,1.2381,sidecar,hold,,above_revert(rho=0.919)
1789302377.192,267.234,400.218,976.2243,461.029,0.8681,1.2164,sidecar,hold,,above_revert(rho=0.868)
1789302379.197,269.238,400.218,976.2243,442.785,0.9039,1.2164,sidecar,hold,,above_revert(rho=0.904)
1789302381.199,271.241,400.218,976.2243,430.015,0.9307,1.2164,sidecar,hold,,above_revert(rho=0.931)
1789302383.203,273.245,400.218,976.2243,421.076,0.9505,1.2164,sidecar,hold,,above_revert(rho=0.950)
1789302385.211,275.253,400.218,976.2243,414.818,0.9648,1.2164,sidecar,hold,,above_revert(rho=0.965)
1789302387.216,277.258,400.218,976.2243,414.818,0.9648,,sidecar,hold,,above_revert(rho=0.965)
1789302402.870,292.912,,,414.818,,,sidecar,hold,,"no_rho(missing:lambda_rps,eventloop_lag_p99_ms,latency_mean_ms,eventloop_utilization,cpu_millicores)"
1789302427.955,317.997,,,414.818,,,sidecar,hold,,"no_rho(missing:lambda_rps,eventloop_lag_p99_ms,latency_mean_ms,eventloop_utilization,cpu_millicores)"
