
         /\      Grafana   /‾‾/  
    /\  /  \     |\  __   /  /   
   /  \/    \    | |/ /  /   ‾‾\ 
  /          \   |   (  |  (‾)  |
 / __________ \  |_|\_\  \_____/ 


     execution: local
        script: /Users/katha/Desktop/EliteLabIndividual_Research/testbedForFinApiZTA/psao-artifact/experiments/k6/openloop-ramp.js
        output: -

time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:08+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
time="2026-09-13T18:32:09+06:00" level=warning msg="Request Failed" error="Get \"https://localhost/products\": EOF"
